category,category2,category3
Allowance,Income,Income
Bank Charge,Others,Expense
Books,Extras,Expense
Car Capital,One-Off,Capital
Car Insurance,Transport (Driving),Expense
Car Maintenance,Transport (Driving),Expense
Cashback,Income,Income
Claimable Expenses,Others,Transfer
Club Membership,Extras,Expense
Dental,Wellness,Expense
Donation,Extras,Expense
Entertainment,Extras,Expense
Examinations,Learning,Expense
Exercise,Wellness,Expense
Fixed Deposit,Investment,Investment
Food,Subsistence,Expense
Gifts,Extras,Expense
Groceries,Subsistence,Expense
Haircut,Wellness,Expense
Held on Behalf,One-Off,Transfer
House Deposit,Normanton Park,Capital
Housing Loan,Normanton Park,Capital
Housing Renovation,Normanton Park,Capital
Housing Rental Income,Normanton Park,Capital
Housing Running Costs,Normanton Park,Capital
Housing Utilities,Normanton Park,Capital
Property Tax,Normanton Park,Capital
Insurance,Insurance,Expense
Interest,Income,Income
Internet (Berlin),Rental Costs,Expense
Internet (VPN),Extras,Expense
Investment,Investment,Investment
Investment (Coinhako),Investment,Investment
Investment (Crowdcube),Investment,Investment
Investment (Crypto.com),Investment,Investment
Investment (Dividends),Investment,Investment
Investment (Endowus),Investment,Investment
Investment (ETF),Investment,Investment
Investment (FD),Investment,Investment
Investment (FS),Investment,Investment
Investment (iFast),Investment,Investment
Investment (MooMoo),Investment,Investment
Investment (SamTradeFX),Investment,Investment
Investment (SRS),Investment,Investment
Investment (Syfe),Investment,Investment
Investment (TD),Investment,Investment
Investment (TigerBrokers),Investment,Investment
Lalamove,Transport (Motorcycle),Expense
Learning,Learning,Expense
Loan,Others,Capital
Eyecare (Glasses),Wellness,Expense
Massage,Wellness,Expense
Materials,Extras,Expense
Medical,Wellness,Expense
Health Check,Wellness,Expense
Traditional Chinese Medicine,Wellness,Expense
Medisave,Insurance,Expense
Motorcycle,Transport (Motorcycle),Expense
Normanton Park,Others,Capital
Others,Others,Transfer
Parents Maintenance,Contributions,Expense
Phone Bill,Subsistence,Expense
Postage,Extras,Expense
Rental,Rental Costs,Expense
Salary,Income,Income
Solidarity Collective,Others,Expense
Tax,Tax,Expense
Transfer,Transfer,Transfer
Transfer (HSBC FR),Transfer,Transfer
Transfer (Revolut),Transfer,Transfer
Transfer (Wise),Transfer,Transfer
Transport (Accident-Motorcycle),Transport (Motorcycle),Expense
Transport (BlablaCar),Transport (Driving),Income
Transport (Car),Transport (Driving),Expense
Transport (Driving),Transport (Driving),Expense
Transport (GrabHitch),Transport (Driving),Income
Transport (Insurance-Motorcycle),Transport (Motorcycle),Expense
Transport (Lessons-Motorcycle),Transport (Motorcycle),Expense
Transport (Licence-Motorcycle),Transport (Motorcycle),Expense
Transport (Materials-Motorcycle),Transport (Motorcycle),Expense
Transport (Parking),Transport (Driving),Expense
Transport (Parking-Motorcycle),Transport (Motorcycle),Expense
Transport (Petrol-Motorcycle),Transport (Motorcycle),Expense
Transport (Private),Transport (Public),Expense
Transport (Public),Transport (Public),Expense
Transport (Purchase-Motorcycle),Transport (Motorcycle),Expense
Transport (Rental-Motorcycle),Transport (Motorcycle),Expense
Travelling,Extras,Expense
University,Learning,Expense
Utilities,Rental Costs,Expense
